BVD,Name,SIC,Industry,OM
IN0008515331,PRECIA MOLEN INDIA PRIVATE LIMITED,3631.0,Manufacturing,0.3127424847594458
IN0008481465,MUMTAZ HOTELS LIMITED,7011.0,Services,0.31144201814317735
IN0010394628,CONTROL COMPONENT INDIA PRIVATE LIMITED,5085.0,Wholesale Trade,0.30608999633708006
IN0008401983,ROCKMAN ADVANCED COMPOSITES PRIVATE LIMITED,3499.0,Manufacturing,0.30340332361600386
IN0004780435,ZYDUS TAKEDA HEALTHCARE PRIVATE LIMITED,2834.0,Manufacturing,0.3005847039184894
IN0002621892,MAHAN ENERGEN LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.2917596652331015
IN0008308415,MERCK SPECIALITIES PRIVATE LIMITED,2869.0,Manufacturing,0.29048103567754796
IN0014525977,SATAKE INDIA ENGINEERING PRIVATE LIMITED,7389.0,Services,0.28970676399262074
IN30422FI,BENARES HOTELS LIMITED,7011.0,Services,0.28945774849325784
IN0010205782,ASKA EQUIPMENTS PRIVATE LIMITED (TRANSFERED FROM MAHARASHTRA),3545.0,Manufacturing,0.2893466438514432
IN39771FI,EMUDHRA LIMITED,7379.0,Services,0.28689482999335
IN0000024645,MAGEBA BRIDGE PRODUCTS PRIVATE LIMITED,1799.0,Construction,0.2832876987630772
IN31071FI,AVANTEL LIMITED,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.28325646975107915
IN30717FI,SAREGAMA INDIA LIMITED,4833.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.28311528762893623
IN0006006324,SMC CORPORATION( INDIA) PRIVATE LIMITED,3491.0,Manufacturing,0.28290366353322116
IN30321FI,TATA ELXSI LIMITED,7373.0,Services,0.2828815380402765
IN0006254704,STEINWEG SHARAF (INDIA) PRIVATE LIMITED,7375.0,Services,0.25691595522483307
IN0002218251,DAIWA KASEI INDIA PRIVATE LIMITED,8742.0,Services,0.25680501807154504
IN33138FI,INFO EDGE (INDIA) LTD,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.2561691101379438
IN0005020549,WILLIAM GRANT AND SONS INDIA PRIVATE LIMITED,7389.0,Services,0.2561550266704122
IN0001948625,CELEBI NAS AIRPORT SERVICES INDIA PRIVATE LIMITED,4581.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.24571227575619925
IN113466FI,LATENT VIEW ANALYTICS LIMITED,8748.0,Services,0.24552009457647025
IN0012775237,RAJHANS NUTRIMENTS PRIVATE LIMITED,2099.0,Manufacturing,0.24362734152046742
IN0003128396,G D GOENKA UNIVERSITY,8221.0,Services,0.24284235894834996
IN0010858162,MANN TOURIST TRANSPORT SERVICE PRIVATE LIMITED,5571.0,Retail Trade,0.24234452546383956
IN0000350403,CHOICE EQUITY BROKING PRIVATE LIMITED,6159.0,"Finance, Insurance, and Real Estate",0.24227449646146304
IN0000341096,JITF URBAN INFRASTRUCTURE LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.24028127727698415
IN0000242725,ADANI LOGISTICS SERVICES LIMITED,4131.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.23941513462190275
IN32198FI,LLOYDS METALS AND ENERGY LIMITED,3399.0,Manufacturing,0.23908239333329806
IN0000296071,STERLING HOLIDAY RESORTS LIMITED,4724.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.2389223951034771
IN114098FI,AGI INFRA LIMITED,1541.0,Construction,0.23834595034922032
IN0011062553,SHREE BALAJEE LANDMARK HOTELS PRIVATE LIMITED,5199.0,Wholesale Trade,0.23801623451358508
IN0000022868,GALDERMA INDIA PRIVATE LIMITED,2869.0,Manufacturing,0.23357396180320136
IN0003734397,BROOKS BROTHERS INDIA PRIVATE LIMITED,7389.0,Services,0.23255345051248089
IN0007969602,HELLERMANNTYTON PRIVATE LIMITED,8721.0,Services,0.22709017415122937
IN0013215319,NIRALA INFRATECH PRIVATE LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.22611134361307542
IN115943FI,METRO BRANDS LIMITED,5139.0,Wholesale Trade,0.22269933659653526
IN138597FI,LIKHITHA INFRASTRUCTURE LIMITED,1623.0,Construction,0.2186170459890425
IN0002919314,FORTIS HEALTH MANAGEMENT LIMITED,8062.0,Services,0.21859731711273037
IN0010308303,CHOKHI DHANI RESORTS PRIVATE LIMITED,7999.0,Services,0.2180132752347096
IN0005522533,TABLETS (INDIA) LTD,2834.0,Manufacturing,0.21740268614237646
IN34620FI,FINEOTEX CHEMICAL LIMITED,2899.0,Manufacturing,0.21643732665188078
IN31412FI,ROTO PUMPS LTD,3561.0,Manufacturing,0.21625420672716134
IN0000258079,SPECIAL ENGG. SERVICES LTD,3559.0,Manufacturing,0.21483979769299288
IN490638FI,E2E NETWORKS LIMITED,7379.0,Services,0.21461567682799898
IN0000750234,ALP AEROFLEX INDIA PRIVATE LIMITED,3069.0,Manufacturing,0.2134949158567846
IN0011698856,LAQSHYA HYDERABAD AIRPORT MEDIA PRIVATE LIMITED,7311.0,Services,0.2132157436763568
IN0002566358,EDUQUITY CAREER TECHNOLOGIES PRIVATE LIMITED,7371.0,Services,0.21312138287086216
IN31518FI,SHIVALIK BIMETAL CONTROLS LTD,3399.0,Manufacturing,0.20992552185832403
IN0014543142,YES SECURITIES (INDIA) LIMITED,7389.0,Services,0.20887817017202212
IN113319FI,WAAREE RENEWABLE TECHNOLOGIES LIMITED,3612.0,Manufacturing,0.20773905137937873
IN0007078317,PENGG USHA MARTIN WIRES PRIVATE LIMITED,3315.0,Manufacturing,0.20678855816309608
IN0002076572,CIRCOR FLOW TECHNOLOGIES INDIA PRIVATE LIMITED,3561.0,Manufacturing,0.20359495727912755
IN110654FI,HAPPIEST MINDS TECHNOLOGIES LIMITED,7379.0,Services,0.20273849779995987
IN0011664105,SITA INFORMATION NETWORKING COMPUTING (INDIA) PRIVATE LIMITED,7375.0,Services,0.20244599524094373
IN31457FI,AURIONPRO SOLUTIONS LIMITED,7379.0,Services,0.20054180826562104
IN30259FI,U P HOTELS LTD,7011.0,Services,0.19992028366920747
IN0006154518,SPORTS AND LEISURE APPAREL LIMITED,2389.0,Manufacturing,0.19975320571574728
IN117192FI,AURANGABAD DISTILLERY LIMITED,2869.0,Manufacturing,0.19837858246169052
IN0010809538,MAHARASHTRA KNOWLEDGE CORPORATION LIMITED,8299.0,Services,0.198187955887663
IN33720FI,SHILCHAR TECHNOLOGIES LTD,3612.0,Manufacturing,0.19804857816165056
IN0013175135,INDIANA HOSPITAL AND HEART INSTITUTE LIMITED,8062.0,Services,0.19641321620005625
IN31929FI,EIH ASSOCIATED HOTELS LIMITED,7011.0,Services,0.19605788794784165
IN0000229786,TATA CONSULTING ENGINEERS LIMITED,8712.0,Services,0.1952207983038036
IN0006630836,LAURUS BIO PRIVATE LIMITED,2834.0,Manufacturing,0.19077153143386139
IN0000267977,AMBUJA NEOTIA HOTEL VENTURES LIMITED,7011.0,Services,0.18990405123935558
IN0005523932,TATA AUTOCOMP HENDRICKSON SUSPENSIONS PRIVATE LIMITED,3562.0,Manufacturing,0.1879826878516401
IN31556FI,KEWAL KIRAN CLOTHING LIMITED,5699.0,Retail Trade,0.18719761365096746
IN32951FI,KILBURN ENGINEERING LTD,8711.0,Services,0.18019684728550825
IN0015497134,FC TECNRGY PRIVATE LIMITED,3999.0,Manufacturing,0.17871533621523997
IN0009044261,NELSON GLOBAL PRODUCTS INDIA PRIVATE LIMITED,3511.0,Manufacturing,0.17716490574015234
IN32290FI,SELAN EXPLORATION TECHNOLOGY LIMITED,1382.0,Mining,0.1770390896895512
IN31579FI,W.S. INDUSTRIES (INDIA) LIMITED,3699.0,Manufacturing,0.1768314131152298
IN31281FI,ANANT RAJ LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.17658846730108602
IN0001597831,HCL AVITAS PRIVATE LIMITED,8099.0,Services,0.17495111377665654
IN0008051403,IOPEX TECHNOLOGIES PRIVATE LIMITED,7371.0,Services,0.17437478920796926
IN0011078912,STOCKHOLDING DOCUMENT MANAGEMENT SERVICES LIMITED,8742.0,Services,0.17395798612491772
IN31376FI,JAIPRAKASH POWER VENTURES LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.17321466434595653
IN30940FI,SHANTHI GEARS LIMITED,3566.0,Manufacturing,0.17297298100044867
IN30854FI,SAINT-GOBAIN SEKURIT INDIA LIMITED,3211.0,Manufacturing,0.1725832445609359
IN0009772189,RAJSHA CHEMICALS PRIVATE LIMITED,2869.0,Manufacturing,0.17128455908223583
IN33922FI,ELANTAS BECK INDIA LIMITED,3699.0,Manufacturing,0.17128275258879852
IN0004862969,ZF HERO CHASSIS SYSTEMS PRIVATE LIMITED,3714.0,Manufacturing,0.1705487228480691
IN0004256569,KALINGA COMMERCIAL CORPORATION LIMITED,1629.0,Construction,0.17049246828864298
IN0000401257,COMPUTER SCIENCES CORPORATION INDIA PRIVATE LIMITED,4212.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.16886467480590142
IN106207FI,MISHTANN FOODS LIMITED,2099.0,Manufacturing,0.1687802448180238
IN34662FI,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,7011.0,Services,0.16859493494421537
IN0014858647,ASIATECH COATINGS PRIVATE LIMITED,7389.0,Services,0.16805995884179306
IN30083FI,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,3613.0,Manufacturing,0.16777740690683754
IN117304FI,VARUN BEVERAGES LIMITED,5182.0,Wholesale Trade,0.1677162593119278
IN30126FI,CUMMINS INDIA LIMITED,3519.0,Manufacturing,0.1667777277539605
IN0000620152,AGRASEN SPONGE PRIVATE LIMITED,3312.0,Manufacturing,0.16642840460708055
IN0000272747,KARNAVATI AVIATION PRIVATE LIMITED,4512.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.16573024705231132
IN0002965346,FUCHS LUBRICANTS (INDIA) PRIVATE LIMITED,2999.0,Manufacturing,0.1654963495337027
IN0003407117,GTPL BROADBAND PRIVATE LIMITED,4833.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.16426391029476514
IN0002792923,DYNA-K-AUTOMOTIVE STAMPINGS PRIVATE LIMITED,3462.0,Manufacturing,0.16294280879739953
IN0000219064,SUDHIR POWER LIMITED,7389.0,Services,0.16262127330084056
