Name,SIC,BVD,Industry
ALKEM LABORATORIES LIMITED,2834.0,IN111231FI,Manufacturing
ALKYL AMINES CHEMICALS LIMITED,2899.0,IN31181FI,Manufacturing
ALLENGERS MEDICAL SYSTEMS LIMITED,3844.0,IN0000734587,Manufacturing
ALLIANCE FRICTION TECHNOLOGY PRIVATE LIMITED,3694.0,IN0000754996,Manufacturing
ALLSTATE INDIA PRIVATE LIMITED,7389.0,IN0008967541,Services
ALPHAMED FORMULATIONS PRIVATE LIMITED,2834.0,IN0000741324,Manufacturing
ALPINE APPARELS PRIVATE LIMITED,3111.0,IN0000692935,Manufacturing
ALPINE SPINWEAVE PRIVATE LIMITED,2269.0,IN0015470454,Manufacturing
ALSTHOM INDUSTRIES LIMITED,3211.0,IN0016316937,Manufacturing
ALTIOSTAR NETWORKS INDIA PRIVATE LIMITED,3669.0,IN0013458067,Manufacturing
ALUTECH PACKAGING PRIVATE LIMITED,3911.0,IN0000733122,Manufacturing
AMARA RAJA POWER SYSTEMS LIMITED,3612.0,IN0000810661,Manufacturing
AMBER ELECTROTECH LIMITED,3694.0,IN0000818378,Manufacturing
AMBER ENTERPRISES INDIA LIMITED,3699.0,IN104784FI,Manufacturing
AMBEY MINING PRIVATE LIMITED,1611.0,IN0000838787,Construction
AMBICA AGARBATHIES & AROMA INDUSTRIES LIMITED,2899.0,IN33196FI,Manufacturing
AMBIENCE COMMERCIAL DEVELOPERS PRIVATE LIMITED,7389.0,IN0000787719,Services
AMBIENCE FACILITIES MANAGEMENT PRIVATE LIMITED,8742.0,IN0000797216,Services
AMBUJA CEMENTS LIMITED,3241.0,IN30358FI,Manufacturing
AMDD FOODS PRIVATE LIMITED,2051.0,IN0012708729,Manufacturing
AMER-SIL KETEX PRIVATE LIMITED,3571.0,IN0004380466,Manufacturing
AMERICHEM POLYMERS INDIA PRIVATE LIMITED,2899.0,IN0000266336,Manufacturing
AMETEK INSTRUMENTS INDIA PRIVATE LIMITED,3542.0,IN0001212782,Manufacturing
AMMAYAPPER TEXTILES PRIVATE LIMITED,2299.0,IN0001298487,Manufacturing
AMNS PORTS PARADIP LIMITED,4789.0,IN0000362332,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AMRIT CEMENT LIMITED,3241.0,IN0001068478,Manufacturing
AMVIAN AUTOMOTIVE PRIVATE LIMITED,3694.0,IN0000852643,Manufacturing
ANCHOR OFFSHORE SERVICES LIMITED,7299.0,IN0000961489,Services
ANDS LITE PRIVATE LIMITED,3844.0,IN0000928854,Manufacturing
ANJAN DRUG PRIVATE LIMITED,2834.0,IN0001305445,Manufacturing
ANRITSU INDIA PRIVATE LIMITED,7389.0,IN0010950839,Services
ANSEC HUMAN RESOURCE SERVICES LIMITED,7361.0,IN0001300585,Services
ANTARIKSH SOFTTECH PRIVATE LIMITED,6531.0,IN0000888506,"Finance, Insurance, and Real Estate"
ANTON PAAR INDIA PRIVATE LIMITED,2655.0,IN0000900825,Manufacturing
ANTONY LARA ENVIRO SOLUTIONS PRIVATE LIMITED,4953.0,IN0001215879,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ANUPAM COLOURS PRIVATE LIMITED,2851.0,IN0000882299,Manufacturing
APARNA CONSTRUCTIONS AND ESTATES PRIVATE LIMITED,6512.0,IN0000998571,"Finance, Insurance, and Real Estate"
APARNA INFRAHOUSING PRIVATE LIMITED (PART IX ),6512.0,IN0001308217,"Finance, Insurance, and Real Estate"
APCER LIFE SCIENCES INDIA LIMITED,5021.0,IN0001004745,Wholesale Trade
APCO INFRATECH PRIVATE LIMITED,5032.0,IN0001005332,Wholesale Trade
