Name,SIC,BVD,Industry
TEKION INDIA PRIVATE LIMITED,7378.0,IN0015595493,Services
TRAVEL DESIGNER INDIA PRIVATE LIMITED,4724.0,IN0005705961,"Transportation, Communications, Electric, Gas, and Sanitary Services"
TRELLEBORG INDIA PRIVATE LIMITED,3069.0,IN0005712638,Manufacturing
TRENT LIMITED,5999.0,IN30407FI,Retail Trade
TRESVISTA FINANCIAL SERVICES PRIVATE LIMITED,8742.0,IN0005725289,Services
TRIPURA NATURAL GAS CO LTD,2999.0,IN0005751143,Manufacturing
UC INCLUSIVE CREDIT PRIVATE LIMITED,6019.0,IN0016129782,"Finance, Insurance, and Real Estate"
UNITED BREWERIES LIMITED,2082.0,IN30240FI,Manufacturing
V 2 TECH VENTURES PRIVATE LIMITED,7389.0,IN0009230891,Services
VIJAY TECHNNOCRATS PRIVATE LIMITED,3321.0,IN0005321788,Manufacturing
VIVA COMPOSITE PANEL PRIVATE LIMITED,3499.0,IN0010544635,Manufacturing
VOLKSWAGEN GROUP TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,7375.0,IN0015195503,Services
WOOD GROUP PSN INDIA PRIVATE LIMITED,1311.0,IN0012915182,Mining
WSP CONSULTANTS INDIA PRIVATE LIMITED,7371.0,IN0005076344,Services
