Name,SIC,BVD,Year,EBIT,Turnover,Profit,OM,RG,Industry,OM_ind_avg,RG_ind_avg,OM_above,RG_above,is_breakaway_after
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,2021,12.7607918056602,47.263895807844,8.75848718740186,0.2699902660910655,0.6647580720951138,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0921763307993986,0.1730626336559204,1,1,True
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,2022,9.15866477824375,76.8698554671071,7.16801558451354,0.1191450760846399,0.6263969390003108,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0915041512513964,0.0724121227983332,1,1,True
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,2023,13.1301646747896,86.870870164576,9.09489690823574,0.1511457713030229,0.1301032067342493,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0999874752300307,0.055984547555087,1,1,True
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,2021,1.24593873134162,10.1908002860425,0.743927695355378,0.1222611273275642,0.5599177587565216,Services,0.0749806056835474,0.247457376364715,1,1,True
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,2022,1.86325445658341,14.7704674131945,1.21230554142594,0.1261472913794833,0.4493922948744657,Services,0.0796014649326658,0.1232445915102364,1,1,True
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,2023,3.57307274763752,20.6850592046995,2.38393557985686,0.1727368876384817,0.4004336238013346,Services,0.0866306222241057,0.0996059907798194,1,1,True
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,2021,5.30532111793105,83.0332400702843,1.1543905762611,0.0638939431177238,0.3105007357252625,Manufacturing,0.055870393051005246,0.30641186231527423,1,1,True
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,2022,7.89163812526315,95.7040739050657,5.70121247959137,0.0824587481311538,0.1525995351266078,Manufacturing,0.0525083011922881,0.08321240641683195,1,1,True
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,2023,8.80941187280696,104.801074340606,6.81839303421602,0.0840584118839866,0.0950534294346145,Manufacturing,0.0570018264388051,0.0419918991478581,1,1,True
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,2021,45.2672648431174,198.595518347202,33.0492797253747,0.2279369908236158,0.393017042573683,Services,0.0749806056835474,0.247457376364715,1,1,True
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,2022,74.7340293034911,287.053036801033,53.9296684053168,0.2603492028384009,0.4454154816282503,Services,0.0796014649326658,0.1232445915102364,1,1,True
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,2023,67.032850649273,329.591046097288,50.9640324127953,0.2033818923269122,0.1481886754110168,Services,0.0866306222241057,0.0996059907798194,1,1,True
ADANI GREEN ENERGY LIMITED,4931.0,IN999003FI,2021,356.562915248796,681.862267451361,64.5058326143771,0.5229251305861862,0.5951649293485926,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0921763307993986,0.1730626336559204,1,1,True
ADANI GREEN ENERGY LIMITED,4931.0,IN999003FI,2022,540.399863608181,969.995253719389,118.467131927609,0.5571159874608148,0.4225677237501357,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0915041512513964,0.0724121227983332,1,1,True
ADANI GREEN ENERGY LIMITED,4931.0,IN999003FI,2023,680.548731628805,1134.16792497039,131.935778073967,0.6000423011844319,0.1692510047049102,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0999874752300307,0.055984547555087,1,1,True
ADANI HARBOUR SERVICES LIMITED,4412.0,IN0000378878,2021,197.403004691952,237.602327242884,203.030221786868,0.830812589180412,0.235169159618428,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0921763307993986,0.1730626336559204,1,1,True
ADANI HARBOUR SERVICES LIMITED,4412.0,IN0000378878,2022,243.204264523461,294.842068281025,272.41602127403,0.8248628356915946,0.2409056413813188,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0915041512513964,0.0724121227983332,1,1,True
ADANI HARBOUR SERVICES LIMITED,4412.0,IN0000378878,2023,281.584534062445,329.221745860297,312.758559588995,0.8553035685010111,0.1166037050944286,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0999874752300307,0.055984547555087,1,1,True
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,2021,2.29398042773828,3.39941780464724,-1.52756143491715,0.6748156771439655,2.4898490117952425,Construction,0.1084854155431605,0.1763543084836143,1,1,True
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,2022,1.43036290705204,5.99876688569784,-7.98497660271823,0.2384428223844282,0.7646453688326011,Construction,0.1048293758920461,0.1071092586571771,1,1,True
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,2023,7.10893960585818,25.5175788956694,2.5115774480626,0.2785898942420686,3.253804053714436,Construction,0.1142143214206921,0.1122661183664435,1,1,True
ADANI LOGISTICS LIMITED,4789.0,IN0000257167,2021,13.6637863991745,111.651589089762,6.20554024576396,0.1223787902220499,0.2394709850659082,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0921763307993986,0.1730626336559204,1,1,True
