BVD,Name,SIC,Industry,OM
IN0002318966,DELHI AIRPORT PARKING SERVICES PRIVATE LIMITED,4789.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.31729489789413
IN0013076196,VIRCHOW BIOTECH PRIVATE LIMITED,2879.0,Manufacturing,0.3150259007823437
IN0002183212,CTRL S DATACENTERS LIMITED,7371.0,Services,0.3127237302743405
IN0005040253,WINGIFY SOFTWARE PRIVATE LIMITED,7371.0,Services,0.306721094348873
IN33239FI,CAPLIN POINT LABORATORIES LIMITED,2834.0,Manufacturing,0.30507005760699885
IN0000564245,CRIF HIGH MARK CREDIT INFORMATION SERVICES PRIVATE LIMITED,8743.0,Services,0.3022939014882111
IN0005400926,VISAKHA CONTAINER TERMINAL PRIVATE LIMITED,7389.0,Services,0.30195145659137274
IN0010311106,CONGRUENT SOLUTIONS PRIVATE LIMITED,3799.0,Manufacturing,0.30032570521460517
IN0011967591,NEW OPPORTUNITY CONSULTANCY PRIVATE LIMITED,7261.0,Services,0.2999706774475008
IN0012770999,SAMHI JV BUSINESS HOTELS PRIVATE LIMITED,7011.0,Services,0.28836796740946297
IN0007684273,MULTIPLES ALTERNATE ASSET MANAGEMENT PRIVATE LIMITED,7389.0,Services,0.2858825071488153
IN0000238181,FAIVELEY TRANSPORT RAIL TECHNOLOGIES INDIA PRIVATE LIMITED,3569.0,Manufacturing,0.2769109413849837
IN36480FI,NAVKAR CORPORATION LIMITED,4789.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.27558845682615374
IN0012648642,RAJHANS CINE WORLD PRIVATE LIMITED,7812.0,Services,0.27121147460789213
IN32178FI,PAUSHAK LIMITED,2899.0,Manufacturing,0.26646421198025777
IN0011078755,SHANTINIKETAN PROPERTIES PRIVATE LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.2664285325162605
IN0006716404,RODIC CONSULTANTS PRIVATE LIMITED,4939.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.2649565029709397
IN0000244782,EAGLEBURGMANN INDIA PRIVATE LIMITED,3559.0,Manufacturing,0.262497729914478
IN0006752889,PRADIP POLYFILS PRIVATE LIMITED,3089.0,Manufacturing,0.2612817247398949
IN0002663791,EUROFINS ANALYTICAL SERVICES INDIA PRIVATE LIMITED,8731.0,Services,0.2609572423441574
IN0003738029,COFORGE DPA PRIVATE LIMITED,7371.0,Services,0.26064061118736737
IN0002138315,CREATIVE CARVE PRIVATE LIMITED,3559.0,Manufacturing,0.25614235083078163
IN0004978355,WEIR MINERALS (INDIA) PRIVATE LIMITED,7389.0,Services,0.2542879682261734
IN0001726341,BLUEBERRY AGRO PRODUCTS PRIVATE LIMITED,2051.0,Manufacturing,0.25080953439737913
IN116360FI,ADANI TOTAL GAS LIMITED,4923.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.24729435746401526
IN0012112553,TOYOTSU BHARAT INTEGRATED SERVICES PRIVATE LIMITED,1623.0,Construction,0.2453413065751919
IN0006688975,RMD KWIKFORM INDIA PRIVATE LIMITED,8742.0,Services,0.24510240301879535
IN0001743517,SUD CHEMIE INDIA PRIVATE LIMITED,2299.0,Manufacturing,0.2424016142686103
IN0011362234,SIGNATURE INTERNATIONAL FOODS INDIA PRIVATE LIMITED,2099.0,Manufacturing,0.2410998749184742
IN30531FI,BHARAT ELECTRONICS LIMITED,9711.0,Public Administration,0.2388550835337744
IN0002895572,FLUID CONTROLS PVT LTD,3561.0,Manufacturing,0.23788622543136614
IN0001957991,CENTRAL U.P. GAS LIMITED,4922.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.2335755836976806
IN0006887632,QUARKCITY INDIA PRIVATE LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.23311889242471848
