Name,SIC,BVD,Industry,Year,OM,RG
AKRY ORGANICS PVT LTD,2869.0,IN0001060236,Manufacturing,2020,0.152438855041703,-0.0658872431538726
AKRY ORGANICS PVT LTD,2869.0,IN0001060236,Manufacturing,2021,0.1676406484449936,0.7509169792343098
AKRY ORGANICS PVT LTD,2869.0,IN0001060236,Manufacturing,2022,0.1512901578992774,0.2038259732896354
AKRY ORGANICS PVT LTD,2869.0,IN0001060236,Manufacturing,2023,0.1808347148192685,0.1526828834603739
ALLEGION INDIA PRIVATE LIMITED,8721.0,IN0012153694,Services,2017,0.1447140332878398,0.2828996115147237
ALLEGION INDIA PRIVATE LIMITED,8721.0,IN0012153694,Services,2018,0.1377194390263161,0.2888670820541708
ALLEGION INDIA PRIVATE LIMITED,8721.0,IN0012153694,Services,2019,0.1372023051544423,0.2249425359549077
ALLEGION INDIA PRIVATE LIMITED,8721.0,IN0012153694,Services,2020,0.1187783143455894,0.1475272900299926
ALLEGION INDIA PRIVATE LIMITED,8721.0,IN0012153694,Services,2021,0.1334281270828697,0.4175187977236807
ALLEGION INDIA PRIVATE LIMITED,8721.0,IN0012153694,Services,2022,0.1622612338536728,0.3143946832256159
ALLEGION INDIA PRIVATE LIMITED,8721.0,IN0012153694,Services,2023,0.1357407441198471,0.3476256867863252
ALUFLUORIDE LIMITED,3355.0,IN31219FI,Manufacturing,2017,0.1704892261171908,0.2900314756542321
ALUFLUORIDE LIMITED,3355.0,IN31219FI,Manufacturing,2018,0.1369773515839541,0.2352237433001143
ALUFLUORIDE LIMITED,3355.0,IN31219FI,Manufacturing,2019,0.1891001431446397,0.0606735655960699
ALUFLUORIDE LIMITED,3355.0,IN31219FI,Manufacturing,2020,-0.0233815285664558,-0.4786388258700665
ALUFLUORIDE LIMITED,3355.0,IN31219FI,Manufacturing,2021,0.0876295985528848,1.2153607449449502
ALUFLUORIDE LIMITED,3355.0,IN31219FI,Manufacturing,2022,0.1444478894059601,0.4268465900289377
ALUFLUORIDE LIMITED,3355.0,IN31219FI,Manufacturing,2023,0.1375445006905174,0.1730395317964885
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,IN0015803827,Services,2017,0.1262300285684054,2.925475301890516
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,IN0015803827,Services,2018,0.1303570245744188,0.5020861918974755
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,IN0015803827,Services,2019,0.1389282676495608,0.2861803481415723
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,IN0015803827,Services,2020,0.1326722583679548,0.2365077945626355
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,IN0015803827,Services,2021,0.1443081424793201,0.3507300217393649
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,IN0015803827,Services,2022,0.1593669488406325,0.3392145779215847
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,IN0015803827,Services,2023,0.1551891222995846,0.2812547020512266
AVENUE SUPERMARTS LIMITED,5999.0,IN001576308IND,Retail Trade,2017,0.0797791098566075,0.2574853230334712
AVENUE SUPERMARTS LIMITED,5999.0,IN001576308IND,Retail Trade,2018,0.0713229863264796,0.2511983435408642
AVENUE SUPERMARTS LIMITED,5999.0,IN001576308IND,Retail Trade,2019,0.0707560480872277,0.1406618162001602
AVENUE SUPERMARTS LIMITED,5999.0,IN001576308IND,Retail Trade,2020,0.0554208236977167,-0.0043221202047843
AVENUE SUPERMARTS LIMITED,5999.0,IN001576308IND,Retail Trade,2021,0.0649198410505741,0.2439486564670865
AVENUE SUPERMARTS LIMITED,5999.0,IN001576308IND,Retail Trade,2022,0.0701737720949392,0.2750669470714324
AVENUE SUPERMARTS LIMITED,5999.0,IN001576308IND,Retail Trade,2023,0.0666196176628653,0.1691348801873484
BETA DRUGS LIMITED,2834.0,IN117718FI,Manufacturing,2017,0.1668782679544681,0.2101600932637517
BETA DRUGS LIMITED,2834.0,IN117718FI,Manufacturing,2018,0.1433222384811925,0.2263325107108322
BETA DRUGS LIMITED,2834.0,IN117718FI,Manufacturing,2019,0.1562323887851779,0.2640804992246959
BETA DRUGS LIMITED,2834.0,IN117718FI,Manufacturing,2020,0.1542202509370962,0.3112582709485303
BETA DRUGS LIMITED,2834.0,IN117718FI,Manufacturing,2021,0.1927986361861081,0.5346000894999541
BETA DRUGS LIMITED,2834.0,IN117718FI,Manufacturing,2022,0.1894492447832271,0.1390900637097434
BETA DRUGS LIMITED,2834.0,IN117718FI,Manufacturing,2023,0.1736077309048363,0.2898833468002668
BITZER INDIA PRIVATE LIMITED,7389.0,IN0001689983,Services,2017,0.2241569472017895,0.2411150787871292
BITZER INDIA PRIVATE LIMITED,7389.0,IN0001689983,Services,2018,0.1420432989671117,0.0990029193547814
BITZER INDIA PRIVATE LIMITED,7389.0,IN0001689983,Services,2019,0.1485969480294399,0.3528501087050175
BITZER INDIA PRIVATE LIMITED,7389.0,IN0001689983,Services,2020,0.1750774833988736,-0.2795054876199967
BITZER INDIA PRIVATE LIMITED,7389.0,IN0001689983,Services,2021,0.2343340133127351,0.3735896523179878
BITZER INDIA PRIVATE LIMITED,7389.0,IN0001689983,Services,2022,0.2282894564182662,0.1269440552498901
BITZER INDIA PRIVATE LIMITED,7389.0,IN0001689983,Services,2023,0.1398153025853566,0.3472873041899871
CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,IN0001890652,Wholesale Trade,2017,0.2126371776800586,0.1923791194230506
CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,IN0001890652,Wholesale Trade,2018,0.2107333886709784,0.4325783200893363
CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,IN0001890652,Wholesale Trade,2019,0.1761765016652363,0.0052954021337969
CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,IN0001890652,Wholesale Trade,2020,0.1267849108432592,-0.4616249667681
CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,IN0001890652,Wholesale Trade,2021,0.2404738920579203,0.8934675683186888
CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,IN0001890652,Wholesale Trade,2022,0.2107261026069874,0.4161846588794333
CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,IN0001890652,Wholesale Trade,2023,0.2199974046978409,0.1920703379612196
CANTABIL RETAIL INDIA LIMITED,2399.0,IN34666FI,Manufacturing,2017,0.0608989403783298,0.2186400064847229
CANTABIL RETAIL INDIA LIMITED,2399.0,IN34666FI,Manufacturing,2018,0.080594390711418,0.3901031606156449
CANTABIL RETAIL INDIA LIMITED,2399.0,IN34666FI,Manufacturing,2019,0.1296273400020741,0.0750387824485423
CANTABIL RETAIL INDIA LIMITED,2399.0,IN34666FI,Manufacturing,2020,0.1355349864549505,-0.1962723455527896
CANTABIL RETAIL INDIA LIMITED,2399.0,IN34666FI,Manufacturing,2021,0.2064608029233561,0.4432081918215913
CANTABIL RETAIL INDIA LIMITED,2399.0,IN34666FI,Manufacturing,2022,0.2086908668886984,0.2865512033979687
CANTABIL RETAIL INDIA LIMITED,2399.0,IN34666FI,Manufacturing,2023,0.1677812426451387,0.0997000577673905
CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,IN0001920959,Manufacturing,2017,0.0946920875005908,0.1531610537747647
CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,IN0001920959,Manufacturing,2018,0.10456384619875,0.2227321744520609
CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,IN0001920959,Manufacturing,2019,0.1079530412269133,0.0604501835266186
CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,IN0001920959,Manufacturing,2020,0.1476035989015871,-0.1798912304999865
CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,IN0001920959,Manufacturing,2021,0.1207479538801598,0.4439441935833992
CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,IN0001920959,Manufacturing,2022,0.0975584163118333,0.1968767429231179
CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,IN0001920959,Manufacturing,2023,0.0941142067387141,0.2395059421935548
CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,IN0001994123,Manufacturing,2017,0.1132864392551385,0.3964929790347473
CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,IN0001994123,Manufacturing,2018,0.1846012260458183,0.3681683843333267
CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,IN0001994123,Manufacturing,2019,0.2046083570032123,-0.0720517026983156
CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,IN0001994123,Manufacturing,2020,0.2031415694628353,0.1914924628256473
CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,IN0001994123,Manufacturing,2021,0.2038687999900469,0.3782064951302624
CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,IN0001994123,Manufacturing,2022,0.1991941694962326,0.218585035942737
CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,IN0001994123,Manufacturing,2023,0.2801256267435286,0.2520692539043492
COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,IN0006617014,Services,2017,0.1528758503241742,0.1902395450142404
COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,IN0006617014,Services,2018,0.162915822403199,0.1051490977035356
COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,IN0006617014,Services,2019,0.1639878272763297,0.1208782967990327
COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,IN0006617014,Services,2020,0.1340195177771332,0.2942328366293396
COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,IN0006617014,Services,2021,0.1465041853306127,0.4417488185181348
COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,IN0006617014,Services,2022,0.1596302422830398,0.4976307474104942
COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,IN0006617014,Services,2023,0.1489562224050193,0.3528787197097807
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919,Manufacturing,2017,0.2005890061581373,0.4143525354425896
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919,Manufacturing,2018,0.2116137181864148,0.2161495905890598
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919,Manufacturing,2019,0.2565185573469123,0.2238712680533408
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919,Manufacturing,2020,0.2393225616327615,0.0941427733448623
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919,Manufacturing,2021,0.1873654921437152,0.3064132715858254
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919,Manufacturing,2022,0.2443052087158251,0.2533641329131606
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919,Manufacturing,2023,0.2387860476212244,0.5292455874000699
CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,IN0010258883,"Transportation, Communications, Electric, Gas, and Sanitary Services",2017,0.3094037945027383,0.3924898904974445
CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,IN0010258883,"Transportation, Communications, Electric, Gas, and Sanitary Services",2018,0.3021880102782387,0.2555764469565449
CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,IN0010258883,"Transportation, Communications, Electric, Gas, and Sanitary Services",2019,0.2342912374381679,0.1128544158712634
CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,IN0010258883,"Transportation, Communications, Electric, Gas, and Sanitary Services",2020,0.3492573528329755,0.3935941234711926
CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,IN0010258883,"Transportation, Communications, Electric, Gas, and Sanitary Services",2021,0.2642230487198289,0.5247253701445158
CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,IN0010258883,"Transportation, Communications, Electric, Gas, and Sanitary Services",2022,0.1477564898473762,0.1484043263368788
CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,IN0010258883,"Transportation, Communications, Electric, Gas, and Sanitary Services",2023,0.1810471862697784,0.25328455114963
DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,IN0002383728,Construction,2017,0.4617922859271052,0.1486967224945861
DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,IN0002383728,Construction,2018,0.5993239812791767,0.0525166561282919
DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,IN0002383728,Construction,2019,0.4273399746689595,-0.0590204888719648
DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,IN0002383728,Construction,2020,0.5349421662358146,0.0600248249581825
DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,IN0002383728,Construction,2021,0.6944798914372592,0.1800247989401315
DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,IN0002383728,Construction,2022,0.715930506944554,0.1167047867643287
DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,IN0002383728,Construction,2023,0.7201881739375586,0.1818334685863565
DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,IN0016583947,Manufacturing,2017,0.0795645379992658,0.9472606903259382
DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,IN0016583947,Manufacturing,2018,0.053569091045408,0.5567497475372141
DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,IN0016583947,Manufacturing,2019,0.1291690479483212,0.3390633876068729
DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,IN0016583947,Manufacturing,2020,0.193646693643042,0.2091346559342712
DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,IN0016583947,Manufacturing,2021,0.1963104632119917,1.045467017626156
DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,IN0016583947,Manufacturing,2022,0.236047791354008,0.2182434896096379
