,BVD,Name,SIC,Industry,RG
292,IN0014220586,OAKNORTH GLOBAL PRIVATE LIMITED,7371.0,Services,0.7618116594361064
300,IN0014500276,ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,5085.0,Wholesale Trade,0.761055493892163
130,IN0005213557,VEHERE INTERACTIVE PVT LTD,7375.0,Services,0.7607879953059342
160,IN0006611377,RETTENMAIER INDIA PRIVATE LIMITED,5199.0,Wholesale Trade,0.7280197898106735
301,IN0014580181,VIKRAN ENGINEERING PRIVATE LIMITED,7299.0,Services,0.7200395988559313
284,IN0013281663,ORCH LABORATORIES INDIA PRIVATE LIMITED,2834.0,Manufacturing,0.71498978104144
102,IN0003638043,HUGHES AND HUGHES CHEM LIMITED,2869.0,Manufacturing,0.7122419546163766
258,IN0012264042,SUPER ENGI-TECH PRIVATE LIMITED,3441.0,Manufacturing,0.7070069832695126
136,IN0005559277,TECHNO WAXCHEM PRIVATE LIMITED,3069.0,Manufacturing,0.6583852793899103
397,IN33024FI,NARBADA GEMS AND JEWELLERY LIMITED,3911.0,Manufacturing,0.6569083593590359
148,IN0006056083,SANKALP PAPER INDUSTRIES PRIVATE LIMITED,2621.0,Manufacturing,0.6539726127156803
129,IN0005194934,VEDIC AND FUTURISTIC EDUTECH,8011.0,Services,0.6103272012746893
419,IN496274FI,ZODIAC ENERGY LIMITED,3612.0,Manufacturing,0.6101399045743895
318,IN0015755595,GOTO TECHNOLOGIES INDIA PRIVATE LIMITED,7375.0,Services,0.5860158042382378
251,IN0011729496,BAI-KAKAJI POLYMERS PRIVATE LIMITED,2084.0,Manufacturing,0.5833735829270906
26,IN0000512835,AET LABORATORIES PRIVATE LIMITED,2833.0,Manufacturing,0.578840440779486
227,IN0010538934,VISTEX ASIA-PACIFIC PRIVATE LIMITED,7375.0,Services,0.5782458623146802
295,IN0014364291,EZESOFTWARE INDIA PRIVATE LIMITED,7371.0,Services,0.5741152310487024
92,IN0003119282,GENESYS TELECOM LABS INDIA PRIVATE LIMITED,7371.0,Services,0.5563260043014604
420,IN496280FI,INNOVANA THINKLABS LIMITED,7372.0,Services,0.5552495367919906
400,IN33167FI,ZYDUS WELLNESS LTD,2099.0,Manufacturing,0.5521915743921975
288,IN0013746256,VANESA COSMETICS PRIVATE LIMITED,2834.0,Manufacturing,0.5410956464380373
89,IN0002895572,FLUID CONTROLS PVT LTD,3561.0,Manufacturing,0.5363960602685838
313,IN0015380368,RAKUTEN INDIA ENTERPRISE PRIVATE LIMITED,7371.0,Services,0.5343555592846995
145,IN0005903159,SENSA CORE MEDICAL INSTRUMENTATION PRIVATE LIMITED,7389.0,Services,0.5287030118138245
296,IN0014378094,SAMCO VENTURES PRIVATE LIMITED,7389.0,Services,0.5283129936045666
264,IN0012483281,LAVISH GRANITO PRIVATE LIMITED,3251.0,Manufacturing,0.5271430076432305
250,IN0011723147,OG CORPORATION INDIA PRIVATE LIMITED,2834.0,Manufacturing,0.5233218340970125
340,IN114777FI,ADANI ENERGY SOLUTIONS LIMITED,4931.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.5154976651889414
40,IN0001224431,ARMSTRONG ROBOTICS & TECHNOLOGIES PRIVATE LIMITED,3569.0,Manufacturing,0.49356122615299075
200,IN0009103562,HOME LIFE BUILDCON PRIVATE LIMITED,1629.0,Construction,0.49196646086072865
0,GBFC029279,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,6021.0,"Finance, Insurance, and Real Estate",0.4912539903172979
333,IN104435FI,ASARFI HOSPITAL LIMITED,8062.0,Services,0.48979127892452157
31,IN0000692935,ALPINE APPARELS PRIVATE LIMITED,3111.0,Manufacturing,0.4886272186221526
154,IN0006402471,SVASTI MICROFINANCE PRIVATE LIMITED,6141.0,"Finance, Insurance, and Real Estate",0.4770393634481443
65,IN0002026901,ACCENTURE OPERATIONS SERVICES PRIVATE LIMITED,7389.0,Services,0.47254204918913195
