,BVD,Name,SIC,Industry,RG
195,IN0009024329,HOYA MEDICAL INDIA PRIVATE LIMITED,5085.0,Wholesale Trade,0.7367194191303946
249,IN0013215319,NIRALA INFRATECH PRIVATE LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.7323650903124838
278,IN0016259413,ALTUM CREDO HOME FINANCE PRIVATE LIMITED,6159.0,"Finance, Insurance, and Real Estate",0.7290694840639348
194,IN0008744651,OMNICOM MEDIA GROUP INDIA PRIVATE LIMITED,7311.0,Services,0.7068721588406467
90,IN0002597119,ETERNITY LIFESTYLES PRIVATE LIMITED,3827.0,Manufacturing,0.7032894257178005
211,IN0010468046,SHARE INDIA ALGOPLUS PRIVATE LIMITED,5085.0,Wholesale Trade,0.6988992748904677
270,IN0015543368,PARSURAM ARAWALI HIGHWAYS PRIVATE LIMITED,4789.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.6968441904655879
46,IN0000360118,GMR HOSPITALITY AND RETAIL LIMITED,5999.0,Retail Trade,0.69476624689348
345,IN31935FI,GANESH HOUSING CORPORATION LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.6927478852879752
255,IN0013778542,MUMBAI AIRPORT LOUNGE SERVICES PRIVATE LIMITED,7011.0,Services,0.6624190464991578
313,IN30422FI,BENARES HOTELS LIMITED,7011.0,Services,0.6623334525796837
260,IN0014525977,SATAKE INDIA ENGINEERING PRIVATE LIMITED,7389.0,Services,0.6620324043290003
233,IN0011698856,LAQSHYA HYDERABAD AIRPORT MEDIA PRIVATE LIMITED,7311.0,Services,0.6574819915924329
334,IN31500FI,MODERN INDIA LIMITED,2269.0,Manufacturing,0.6515429406420091
188,IN0008401983,ROCKMAN ADVANCED COMPOSITES PRIVATE LIMITED,3499.0,Manufacturing,0.651422214382224
156,IN0006394005,SPRAY ENGINEERING DEVICES LIMITED,3564.0,Manufacturing,0.6447282778877624
373,IN34593FI,JTL INDUSTRIES LTD,3317.0,Manufacturing,0.6446107864500846
73,IN0001842356,BSS MICROFINANCE LIMITED,7389.0,Services,0.6430527186145601
58,IN0000755108,EPAM SYSTEMS INDIA PRIVATE LIMITED,8742.0,Services,0.6413269811148173
68,IN0001534074,BAYER PHARMACEUTICALS PRIVATE LIMITED,2834.0,Manufacturing,0.6351618375540006
33,IN0000267889,MARKET CITY RESOURCES PRIVATE LIMITED,7011.0,Services,0.6332140916680767
309,IN30259FI,U P HOTELS LTD,7011.0,Services,0.6189605931186654
232,IN0011664105,SITA INFORMATION NETWORKING COMPUTING (INDIA) PRIVATE LIMITED,7375.0,Services,0.6053396852924487
208,IN0010308303,CHOKHI DHANI RESORTS PRIVATE LIMITED,7999.0,Services,0.5971933579307378
119,IN0004114665,JEFFERIES INDIA PRIVATE LIMITED,8742.0,Services,0.595262243011488
358,IN33112FI,OLECTRA GREENTECH LIMITED,3675.0,Manufacturing,0.5943918697186971
36,IN0000272747,KARNAVATI AVIATION PRIVATE LIMITED,4512.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.5733295304404594
241,IN001266232IND,EASY TRIP PLANNERS LIMITED,4724.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.570205124682117
323,IN31064FI,AUTORIDERS INTERNATIONAL LIMITED,7514.0,Services,0.5648706085262613
117,IN0003905464,INTRAEDGE TECHNOLOGIES PRIVATE LIMITED,7371.0,Services,0.5615854271492468
212,IN0010604402,H. K. JEWELS PRIVATE LIMITED,3911.0,Manufacturing,0.5554566471820267
237,IN0012214019,WWT INDIA PRIVATE LIMITED,7375.0,Services,0.5482460584357975
229,IN0011437288,SIDDAPUR DISTILLERIES LIMITED,2085.0,Manufacturing,0.5443898678429111
21,IN0000237611,COCHIN INTERNATIONAL AIRPORT LIMITED,4581.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.5426253533487607
142,IN0005642446,TOYODA GOSEI SOUTH INDIA PRIVATE LIMITED,3011.0,Manufacturing,0.5352839561415564
120,IN0004143704,JWIL INFRA LIMITED,4941.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.531369482758696
149,IN0006022785,SAFRAN HAL AIRCRAFT ENGINES PRIVATE LIMITED,3721.0,Manufacturing,0.5304357690628313
343,IN31929FI,EIH ASSOCIATED HOTELS LIMITED,7011.0,Services,0.5292268766909162
374,IN34608FI,PG ELECTROPLAST LIMITED,3679.0,Manufacturing,0.5260514162322437
154,IN0006327592,SUDISA FOUNDRY PRIVATE LIMITED,3281.0,Manufacturing,0.5198323194270559
281,IN106207FI,MISHTANN FOODS LIMITED,2099.0,Manufacturing,0.5109405637767829
280,IN102025FI,JITF INFRALOGISTICS LIMITED,4789.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.5106562700013934
79,IN0002076572,CIRCOR FLOW TECHNOLOGIES INDIA PRIVATE LIMITED,3561.0,Manufacturing,0.5083277226014521
111,IN0003630874,HSS APPAREL PRIVATE LIMITED,2389.0,Manufacturing,0.5068762152672244
353,IN32951FI,KILBURN ENGINEERING LTD,8711.0,Services,0.50321790371897
4,IN0000022868,GALDERMA INDIA PRIVATE LIMITED,2869.0,Manufacturing,0.5030747605673919
329,IN31386FI,THE PHOENIX MILLS LIMITED,1629.0,Construction,0.4974865071990624
168,IN0007222599,PLASTIC OMNIUM AUTO EXTERIORS (INDIA) PRIVATE LIMITED,3714.0,Manufacturing,0.4937593536856855
228,IN001139079IND,KRISHIVAL FOODS LIMITED,2068.0,Manufacturing,0.49372849001442254
299,IN117597FI,FOCUS LIGHTING & FIXTURES LTD,3645.0,Manufacturing,0.4933456124005633
39,IN0000280282,DAIFUKU INTRALOGISTICS INDIA PRIVATE LIMITED,3559.0,Manufacturing,0.4905401160566878
60,IN0000855797,AMRAPALI JEWELS PRIVATE LIMITED,3911.0,Manufacturing,0.4869710007708221
81,IN0002150928,CREDILA FINANCIAL SERVICES LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.486809439844298
145,IN0005745767,TRION PROPERTIES PRIVATE LIMITED,1629.0,Construction,0.48587754223621804
221,IN0011062553,SHREE BALAJEE LANDMARK HOTELS PRIVATE LIMITED,5199.0,Wholesale Trade,0.4854643753992083
106,IN0003032588,GANGA MEDICAL CENTRE AND HOSPITALS PRIVATE LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.4853874341920632
277,IN0016143303,SUNMED HEALTH CARE PRIVATE LIMITED,7389.0,Services,0.4796780366867952
140,IN0005523932,TATA AUTOCOMP HENDRICKSON SUSPENSIONS PRIVATE LIMITED,3562.0,Manufacturing,0.47293327024994736
242,IN0012727224,NORTH BIHAR HIGHWAY LIMITED,1611.0,Construction,0.47275697513071085
153,IN0006286434,STESALIT LIMITED,3799.0,Manufacturing,0.4724366073073791
121,IN0004187952,JUST-IN-TIME TRADING PRIVATE LIMITED,5085.0,Wholesale Trade,0.4723688665976342
45,IN0000350403,CHOICE EQUITY BROKING PRIVATE LIMITED,6159.0,"Finance, Insurance, and Real Estate",0.47164666888418516
126,IN0004290468,KAMATHS OURTIMES ICECREAMS PRIVATE LIMITED,2021.0,Manufacturing,0.47001429761616237
49,IN0000420982,ABHITECH ENERGYCON LIMITED,8712.0,Services,0.46991455914410735
44,IN0000341096,JITF URBAN INFRASTRUCTURE LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.46447341187903146
169,IN0007243037,PROTIVITI INDIA MEMBER PRIVATE LIMITED,8111.0,Services,0.4617157247794565
183,IN0008106312,OPC ASSET SOLUTIONS PRIVATE LIMITED,7375.0,Services,0.4586148684576334
37,IN0000275942,OSTWAL PHOSCHEM (INDIA) LIMITED,3251.0,Manufacturing,0.4530015372216068
227,IN0011390586,WARNER ELECTRONICS INDIA PRIVATE LIMITED,7389.0,Services,0.4529235179931021
12,IN0000222558,TOYOTA KIRLOSKAR AUTO PARTS PRIVATE LIMITED,3799.0,Manufacturing,0.44898584337305375
