Name,SIC,BVD,Industry
CONFIDENCE FUTURISTIC ENERGETECH LIMITED,3593.0,IN113613FI,Manufacturing
CONNECTWELL INDUSTRIES PRIVATE LIMITED,3571.0,IN0010264527,Manufacturing
CONTROL COMPONENT INDIA PRIVATE LIMITED,5085.0,IN0010394628,Wholesale Trade
CORDS CABLE INDUSTRIES LTD,3496.0,IN33400FI,Manufacturing
CPC DIAGNOSTICS PRIVATE LIMITED,5962.0,IN0002124963,Retail Trade
CRAFTSMAN AUTOMATION LIMITED,8711.0,IN37128FI,Services
CREDILA FINANCIAL SERVICES LIMITED,6019.0,IN0002150928,"Finance, Insurance, and Real Estate"
CUMMINS INDIA LIMITED,3519.0,IN30126FI,Manufacturing
CYBERABAD CONVENTION CENTRE PRIVATE LIMITED,7021.0,IN0002195782,Services
DAIFUKU INTRALOGISTICS INDIA PRIVATE LIMITED,3559.0,IN0000280282,Manufacturing
DAIWA KASEI INDIA PRIVATE LIMITED,8742.0,IN0002218251,Services
DASHRATH SILVER ART PRIVATE LIMITED,3911.0,IN0002250404,Manufacturing
DEDICATED FREIGHT CORRIDOR CORPORATION OF INDIA LIMITED,4212.0,IN0002293906,"Transportation, Communications, Electric, Gas, and Sanitary Services"
DELHI DUTY FREE SERVICES PRIVATE LIMITED,5962.0,IN0000022904,Retail Trade
DELOITTE FINANCIAL ADVISORY SERVICES INDIA PRIVATE LIMITED,8721.0,IN0002479161,Services
DELVAL FLOW CONTROLS PRIVATE LIMITED,3559.0,IN0002617424,Manufacturing
DENSO TEN UNO MINDA INDIA PRIVATE LIMITED,3694.0,IN0002966828,Manufacturing
DEUTSCH INDIA POWER CONNECTORS PRIVATE LIMITED,3559.0,IN0002354972,Manufacturing
DEVYANI INTERNATIONAL LIMITED,2035.0,IN0000226247,Manufacturing
DEXTRA INDIA PRIVATE LIMITED,3531.0,IN0002385747,Manufacturing
DYNA-K-AUTOMOTIVE STAMPINGS PRIVATE LIMITED,3462.0,IN0002792923,Manufacturing
DYNAMIC CABLES LIMITED,3357.0,IN254337FI,Manufacturing
E2E NETWORKS LIMITED,7379.0,IN490638FI,Services
EASY TRIP PLANNERS LIMITED,4724.0,IN001266232IND,"Transportation, Communications, Electric, Gas, and Sanitary Services"
EBCO PRIVATE LIMITED,3559.0,IN0007832776,Manufacturing
ECIL-RAPISCAN LIMITED,3531.0,IN0010255688,Manufacturing
EDUQUITY CAREER TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0002566358,Services
EDWARDS LIFESCIENCES (INDIA) PRIVATE LIMITED,3841.0,IN0002805928,Manufacturing
EIH ASSOCIATED HOTELS LIMITED,7011.0,IN31929FI,Services
ELANTAS BECK INDIA LIMITED,3699.0,IN33922FI,Manufacturing
ELEMENT14 INDIA PRIVATE LIMITED,3571.0,IN0007923249,Manufacturing
ELMEX ELECTRIC PRIVATE LIMITED,3613.0,IN0007949309,Manufacturing
EMKAY TAPS AND CUTTING TOOLS LIMITED,3545.0,IN115028FI,Manufacturing
EMUDHRA LIMITED,7379.0,IN39771FI,Services
ENNORE COAL TERMINAL PRIVATE LIMITED,4789.0,IN0002066764,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ENRX PRIVATE LIMITED,3612.0,IN0000260132,Manufacturing
EPAM SYSTEMS INDIA PRIVATE LIMITED,8742.0,IN0000755108,Services
ETERNITY LIFESTYLES PRIVATE LIMITED,3827.0,IN0002597119,Manufacturing
ETHOS LIMITED,5094.0,IN37719FI,Wholesale Trade
EURO PANEL PRODUCTS LIMITED,3365.0,IN932757FI,Manufacturing
EXOTECH PLASTICS PRIVATE LIMITED,3089.0,IN0002712681,Manufacturing
FC TECNRGY PRIVATE LIMITED,3999.0,IN0015497134,Manufacturing
FINEOTEX CHEMICAL LIMITED,2899.0,IN34620FI,Manufacturing
FINOLEX CABLES LIMITED,3357.0,IN30028FI,Manufacturing
FOCUS LIGHTING & FIXTURES LTD,3645.0,IN117597FI,Manufacturing
FORTINET TECHNOLOGIES INDIA PRIVATE LIMITED,7371.0,IN0002919022,Services
FORTIS HEALTH MANAGEMENT LIMITED,8062.0,IN0002919314,Services
FORTUNE GOURMET SPECIALITIES PRIVATE LIMITED,5147.0,IN0002923238,Wholesale Trade
FOUNDEVER CRM INDIA PRIVATE LIMITED,4899.0,IN0011078862,"Transportation, Communications, Electric, Gas, and Sanitary Services"
FOWLER WESTRUP (INDIA) PRIVATE LIMITED,7389.0,IN0002938775,Services
FRANK LIFECARE PRIVATE LIMITED,2879.0,IN0002942842,Manufacturing
FRANKE FABER INDIA PRIVATE LIMITED,2656.0,IN0000021213,Manufacturing
FUCHS LUBRICANTS (INDIA) PRIVATE LIMITED,2999.0,IN0002965346,Manufacturing
G D GOENKA UNIVERSITY,8221.0,IN0003128396,Services
G T Z (INDIA) PVT LTD,3312.0,IN0009329466,Manufacturing
G.S. ALLOY CASTINGS PRIVATE LIMITED,3312.0,IN0010170636,Manufacturing
GABRIEL INDIA LIMITED,5012.0,IN31792FI,Wholesale Trade
GAJANAN FERRO PRIVATE LIMITED,3312.0,IN0002999178,Manufacturing
GALDERMA INDIA PRIVATE LIMITED,2869.0,IN0000022868,Manufacturing
GANDEVIKAR JEWELLERS PVT LTD,3911.0,IN0003022158,Manufacturing
GANESH HOUSING CORPORATION LIMITED,6531.0,IN31935FI,"Finance, Insurance, and Real Estate"
GANGA FASHIONS PRIVATE LIMITED,5651.0,IN0003031282,Retail Trade
GANGA MEDICAL CENTRE AND HOSPITALS PRIVATE LIMITED,4911.0,IN0003032588,"Transportation, Communications, Electric, Gas, and Sanitary Services"
GMR HOSPITALITY AND RETAIL LIMITED,5999.0,IN0000360118,Retail Trade
GOKALDAS EXPORTS LIMITED,2389.0,IN31369FI,Manufacturing
GOLDRUSH SALES & SERVICES LTD,5199.0,IN0000248777,Wholesale Trade
GREENLAM INDUSTRIES LIMITED,3083.0,IN113723FI,Manufacturing
GTN ENTERPRISES LIMITED,2299.0,IN0003406808,Manufacturing
GTPL BROADBAND PRIVATE LIMITED,4833.0,IN0003407117,"Transportation, Communications, Electric, Gas, and Sanitary Services"
GUJARAT FLOTEX PRIVATE LIMITED,2211.0,IN0003414566,Manufacturing
H. K. JEWELS PRIVATE LIMITED,3911.0,IN0010604402,Manufacturing
HAPPIEST MINDS TECHNOLOGIES LIMITED,7379.0,IN110654FI,Services
HAVMOR ICE CREAM PRIVATE LIMITED,2021.0,IN0020486081,Manufacturing
HCL AVITAS PRIVATE LIMITED,8099.0,IN0001597831,Services
HDFC CAPITAL ADVISORS LIMITED,7389.0,IN0014436737,Services
HEALTHCARE GLOBAL ENTERPRISES LIMITED,2021.0,IN117343FI,Manufacturing
HELLERMANNTYTON PRIVATE LIMITED,8721.0,IN0007969602,Services
HINDUSTAN OIL EXPLORATION COMPANY LIMITED,1311.0,IN30310FI,Mining
HIRA TECHNOLOGIES PRIVATE LIMITED,3631.0,IN0003689094,Manufacturing
HIRSCHVOGEL COMPONENTS INDIA PRIVATE LIMITED,3441.0,IN0003687061,Manufacturing
HL KLEMOVE INDIA PRIVATE LIMITED,3799.0,IN0015644141,Manufacturing
HOYA MEDICAL INDIA PRIVATE LIMITED,5085.0,IN0009024329,Wholesale Trade
HSS APPAREL PRIVATE LIMITED,2389.0,IN0003630874,Manufacturing
INDEGENE LIMITED,8099.0,IN110739FI,Services
INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,7011.0,IN34662FI,Services
INDIAN CLEARING CORPORATION LIMITED,6111.0,IN0003759925,"Finance, Insurance, and Real Estate"
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,7011.0,IN001577106IND,Services
INDIANA HOSPITAL AND HEART INSTITUTE LIMITED,8062.0,IN0013175135,Services
INDRAPRASTHA MEDICAL CORPORATION LIMITED,8069.0,IN30554FI,Services
INDUCTIS (INDIA) PRIVATE LIMITED,7389.0,IN0003799551,Services
INFO EDGE (INDIA) LTD,4899.0,IN33138FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
INTEVA PRODUCTS INDIA AUTOMOTIVE PRIVATE LIMITED,3714.0,IN0000022683,Manufacturing
INTRAEDGE TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0003905464,Services
IOPEX TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0008051403,Services
JAI AMBE VINIMAY PRIVATE LIMITED,5085.0,IN0004020147,Wholesale Trade
JAI BALAJI INDUSTRIES LIMITED,3462.0,IN32012FI,Manufacturing
JAIPRAKASH POWER VENTURES LIMITED,4911.0,IN31376FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
JBM AUTO LTD,3711.0,IN32964FI,Manufacturing
JCB POWER PRODUCTS INDIA PRIVATE LIMITED,3612.0,IN0013518888,Manufacturing
JEFFERIES INDIA PRIVATE LIMITED,8742.0,IN0004114665,Services
JITF INFRALOGISTICS LIMITED,4789.0,IN102025FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
JITF URBAN INFRASTRUCTURE LIMITED,6531.0,IN0000341096,"Finance, Insurance, and Real Estate"
JSG INNOTECH PRIVATE LIMITED,3714.0,IN0007792725,Manufacturing
JSW INFRASTRUCTURE LIMITED,4499.0,IN116568FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
JTL INDUSTRIES LTD,3317.0,IN34593FI,Manufacturing
JUST-IN-TIME TRADING PRIVATE LIMITED,5085.0,IN0004187952,Wholesale Trade
JWIL INFRA LIMITED,4941.0,IN0004143704,"Transportation, Communications, Electric, Gas, and Sanitary Services"
K.P. ENERGY LIMITED,4911.0,IN116746FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
K.P.I. GLOBAL INFRASTRUCTURE LIMITED,4911.0,IN001576262IND,"Transportation, Communications, Electric, Gas, and Sanitary Services"
KAJARIA SANITARYWARE PRIVATE LIMITED,3261.0,IN0004240182,Manufacturing
KALA JYOTHI PROCESS PRIVATE LIMITED,2759.0,IN0004245854,Manufacturing
KALINGA COMMERCIAL CORPORATION LIMITED,1629.0,IN0004256569,Construction
KALPATARU RETAIL VENTURES PRIVATE LIMITED,1629.0,IN0004266971,Construction
KALYANI TECHNOFORGE LIMITED,3462.0,IN0000238157,Manufacturing
KAMATHS OURTIMES ICECREAMS PRIVATE LIMITED,2021.0,IN0004290468,Manufacturing
KARNAVATI AVIATION PRIVATE LIMITED,4512.0,IN0000272747,"Transportation, Communications, Electric, Gas, and Sanitary Services"
KAYPEE ELECTRONICS AND ASSOCIATES PRIVATE LIMITED,8062.0,IN0004598743,Services
KDDL LIMITED,3873.0,IN32321FI,Manufacturing
KEWAL KIRAN CLOTHING LIMITED,5699.0,IN31556FI,Retail Trade
KILBURN ENGINEERING LTD,8711.0,IN32951FI,Services
KILITCH DRUGS INDIA LIMITED,2834.0,IN32960FI,Manufacturing
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVA TE LIMITED,3552.0,IN0014353115,Manufacturing
KNORR-BREMSE TECHNOLOGY CENTER INDIA PRIVATE LIMITED,7375.0,IN0008070427,Services
KOKUYO RIDDHI PAPER PRODUCTS PRIVATE LIMITED,2678.0,IN0014771628,Manufacturing
KOMATSU INDIA PRIVATE LIMITED,3531.0,IN0004667536,Manufacturing
KOTHARI PETROCHEMICALS LIMITED,2865.0,IN37383FI,Manufacturing
KPMG GLOBAL SERVICES PRIVATE LIMITED,8742.0,IN0004698558,Services
KRISHIVAL FOODS LIMITED,2068.0,IN001139079IND,Manufacturing
KRISHNA MARUTI LIMITED,3714.0,IN0000221905,Manufacturing
LANSON MOTORS PRIVATE LIMITED,5085.0,IN0010704343,Wholesale Trade
LAQSHYA HYDERABAD AIRPORT MEDIA PRIVATE LIMITED,7311.0,IN0011698856,Services
LARK ENGINEERING COMPANY (INDIA) PRIVATE LIMITED,3569.0,IN0013058134,Manufacturing
LATENT VIEW ANALYTICS LIMITED,8748.0,IN113466FI,Services
LAURUS BIO PRIVATE LIMITED,2834.0,IN0006630836,Manufacturing
LEE PHARMA LIMITED,2833.0,IN0007481336,Manufacturing
LIKHITHA INFRASTRUCTURE LIMITED,1623.0,IN138597FI,Construction
LINCOLN ELECTRIC COMPANY (INDIA) PRIVATE LIMITED,3694.0,IN0008002869,Manufacturing
LLOYDS ENTERPRISES LIMITED,3316.0,IN33654FI,Manufacturing
LLOYDS METALS AND ENERGY LIMITED,3399.0,IN32198FI,Manufacturing
LUMAX AUTO TECHNOLOGIES LIMITED,3711.0,IN33449FI,Manufacturing
LUMAX CORNAGLIA AUTO TECHNOLOGIES PRIVATE LIMITED,3559.0,IN0007540796,Manufacturing
LUMAX MANNOH ALLIED TECHNOLOGIES LIMITED,3751.0,IN0013140457,Manufacturing
M M FORGINGS LIMITED,3325.0,IN31672FI,Manufacturing
M.V.R. INFRASTRUCTURE AND TOLLWAYS LIMITED,1629.0,IN0010895023,Construction
