Name,SIC,BVD,Industry
ALLWEILER INDIA PRIVATE LIMITED,3569.0,IN0005811819,Manufacturing
ALP AEROFLEX INDIA PRIVATE LIMITED,8742.0,IN0000750234,Services
ALPHATEC AUDIO VIDEO PRIVATE LIMITED,5085.0,IN0014821815,Wholesale Trade
ALPINE DISTILLERIES PRIVATE LIMITED,5085.0,IN0000704703,Wholesale Trade
ALPINE POLYRUB PRIVATE LIMITED,5131.0,IN0000749756,Wholesale Trade
ALTIMETRIK INDIA PRIVATE LIMITED,7371.0,IN0008964467,Services
ALUDECOR LAMINATION PRIVATE LIMITED,1041.0,IN0000748478,Mining
AMADEUS SOFTWARE LABS INDIA PRIVATE LIMITED,7371.0,IN0012857028,Services
AMALGAMATIONS VALEO CLUTCH PRIVATE LIMITED,3562.0,IN0000234402,Manufacturing
AMAR INFRASTRUCTURE LIMITED,1629.0,IN0000813604,Construction
AMBIENCE HOTELS & RESORTS PRIVATE LIMITED,7389.0,IN0000287401,Services
AMBUJ HOTEL AND REAL ESTATE PRIVATE LIMITED,7021.0,IN0000787223,Services
AMBUJA NEOTIA HOTEL VENTURES LIMITED,7021.0,IN0000267977,Services
AMD INDUSTRIES LIMITED,7389.0,IN33413FI,Services
AMOD STAMPINGS PVT LTD,2281.0,IN0000808088,Manufacturing
AMRAPALI JEWELS PRIVATE LIMITED,3911.0,IN0000855797,Manufacturing
AMSTEEL CASTINGS PRIVATE LIMITED,3321.0,IN0001351648,Manufacturing
AN ROYAL ENGINEERING INDIA PRIVATE LIMITED,3691.0,IN0011751656,Manufacturing
ANAMALLAIS AGENCIES MADURAI PRIVATE LIMITED,5012.0,IN0000923678,Wholesale Trade
ANAND JEWELS (INDORE) PRIVATE LIMITED,5999.0,IN0000927873,Retail Trade
ANANT RAJ LIMITED,6531.0,IN31281FI,"Finance, Insurance, and Real Estate"
ANANTCARS AUTO PRIVATE LIMITED,5012.0,IN0014209538,Wholesale Trade
ANAYA INFRACON PRIVATE LIMITED,1629.0,IN0000939263,Construction
ANJ TURNKEY PROJECTS PRIVATE LIMITED,8711.0,IN0000924246,Services
ANLON HEALTHCARE PRIVATE LIMITED,2834.0,IN0012043907,Manufacturing
ANTONY GARAGE PRIVATE LIMITED,5012.0,IN0001215851,Wholesale Trade
ANTONY WASTE HANDLING CELL LIMITED,4953.0,IN0020488893,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ANUHAR HOMES PRIVATE LIMITED,1799.0,IN0000828552,Construction
ANUPAM RASAYAN INDIA LIMITED,2899.0,IN36061FI,Manufacturing
AON INDIA INSURANCE BROKERS PRIVATE LIMITED,6411.0,IN0015628494,"Finance, Insurance, and Real Estate"
APAR INDUSTRIES LIMITED,3531.0,IN31340FI,Manufacturing
APAR TRANSMISSION & DISTRIBUTION PROJECTS PRIVATE LIMITED,7389.0,IN0015843016,Services
APEEJAY SHIPPING LTD,4212.0,IN0000233399,"Transportation, Communications, Electric, Gas, and Sanitary Services"
APL HEALTHCARE LIMITED,2834.0,IN0000359664,Manufacturing
APPASAMY OCULAR DEVICES PRIVATE LIMITED,3827.0,IN0001308362,Manufacturing
APPASWAMY REAL ESTATES LIMITED,6531.0,IN0000976487,"Finance, Insurance, and Real Estate"
APPCINO TECHNOLOGIES PRIVATE LIMITED,7375.0,IN0012530598,Services
APPLE INDIA PRIVATE LIMITED,3571.0,IN0000982471,Manufacturing
