Name,SIC,BVD,Industry
CENTRAL REGISTRY OF SECURITISATION ASSET RECONSTRUCTION AND SECURITY INTEREST OF INDIA,6019.0,IN0001957827,"Finance, Insurance, and Real Estate"
CENTRIC CONSULTING INDIA PRIVATE LIMITED,7375.0,IN0015273429,Services
CHAMBAL FERTILISERS AND CHEMICALS LIMITED,2875.0,IN30322FI,Manufacturing
CHARGEBEE TECHNOLOGIES PRIVATE LIMITED,7375.0,IN0002022136,Services
CHR.HANSEN (INDIA) PRIVATE LIMITED,2011.0,IN0010259586,Manufacturing
CLEVERTAP PRIVATE LIMITED,7374.0,IN0014163715,Services
CLOUD4C SERVICES PRIVATE LIMITED,7375.0,IN0012274593,Services
CLOUDERA DATA PLATFORM INDIA PRIVATE LIMITED,7371.0,IN0009082865,Services
COCA COLA INDIA PRIVATE LIMITED,2084.0,IN0007875312,Manufacturing
COFORGE SF PRIVATE LIMITED,7371.0,IN0005018765,Services
COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,IN0006617014,Services
COLOR GRANITO PRIVATE LIMITED,3251.0,IN0015036591,Manufacturing
COMPUNNEL TECHNOLOGY INDIA PRIVATE LIMITED,5734.0,IN0003824621,Retail Trade
CONCEPTS HYGIENE PRIVATE LIMITED,2819.0,IN0010396317,Manufacturing
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919,Manufacturing
COOKE & KELVEY PVT LTD,5021.0,IN0010321263,Wholesale Trade
COPART INDIA PRIVATE LIMITED,8742.0,IN0012008614,Services
COTIVITI INDIA PRIVATE LIMITED,7371.0,IN0003932809,Services
COUPA SOFTWARE INDIA PRIVATE LIMITED,7389.0,IN0015058095,Services
COURSERA INDIA PRIVATE LIMITED,7389.0,IN0016018959,Services
CREATIVE MINERALS (INDIA) PRIVATE LIMITED,1474.0,IN0002144401,Mining
CREST DIGITEL PRIVATE LIMITED,4899.0,IN0006089447,"Transportation, Communications, Electric, Gas, and Sanitary Services"
CROPNOSYS (INDIA) PRIVATE LIMITED,2873.0,IN0002162527,Manufacturing
CROWN WORLDWIDE PRIVATE LIMITED,4311.0,IN0002169722,"Transportation, Communications, Electric, Gas, and Sanitary Services"
CU-BUILT ENGINEERS PRIVATE LIMITED,3559.0,IN0002183487,Manufacturing
CVENT INDIA PRIVATE LIMITED,7371.0,IN0002192383,Services
CXIO TECHNOLOGIES PRIVATE LIMITED,7374.0,IN0015100973,Services
D. E. SHAW INDIA PRIVATE LIMITED,7371.0,IN0010303628,Services
DAILY FRESH FRUITS INDIA PRIVATE LIMITED,2033.0,IN0002215918,Manufacturing
DARSHAN CREATION PRIVATE LIMITED,2281.0,IN0002242703,Manufacturing
DATSONS ELECTRONICS PVT LTD,3612.0,IN0002258038,Manufacturing
DE'S TECHNICO LIMITED,3569.0,IN0002279725,Manufacturing
DECCAN TOBACCO EXPORTS PRIVATE LIMITED,2111.0,IN0002288319,Manufacturing
DELOITTE & TOUCHE ASSURANCE & ENTERPRISE RISK SERVICES INDIA PRIVATE LIMITED,8721.0,IN0002479194,Services
DELOITTE CONSULTING INDIA PRIVATE LIMITED,7375.0,IN0002479175,Services
DELOITTE INDIA ADVISORY SERVICES PRIVATE LIMITED,7389.0,IN0002479239,Services
DEUTSCH INDIA POWER CONNECTORS PRIVATE LIMITED,3559.0,IN0002354972,Manufacturing
DHALOP CHEMICALS PRIVATE LIMITED,2819.0,IN0002389543,Manufacturing
DHANLUXMI TEXTILES LIMITED,2298.0,IN0002412368,Manufacturing
DHANTURI GROUP OF HOTELS PRIVATE LIMITED,7021.0,IN0002422309,Services
DK BASAK JEWELLERS PRIVATE LIMITED,5021.0,IN0002497824,Wholesale Trade
DOMS INDUSTRIES LIMITED,3999.0,IN0005075529,Manufacturing
DORADO CHEM PRIVATE LIMITED,2819.0,IN0007809628,Manufacturing
DOTEX MERCHANDISE PRIVATE LIMITED,5085.0,IN0007805248,Wholesale Trade
DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,IN0016583947,Manufacturing
DURGA PROCESSORS PRIVATE LIMITED,2711.0,IN0002788011,Manufacturing
DYNAMIC TOOLS PRIVATE LIMITED,8711.0,IN0002552346,Services
DYSON TECHNOLOGY INDIA PRIVATE LIMITED,5085.0,IN0015877197,Wholesale Trade
ECOLAB FOOD SAFETY & HYGIENE SOLUTIONS PRIVATE LIMITED,2821.0,IN0007776646,Manufacturing
EDWARDS LIFESCIENCES (INDIA) PRIVATE LIMITED,3841.0,IN0002805928,Manufacturing
EMPLOYTECH CENTER INDIA PRIVATE LIMITED,7375.0,IN0017127904,Services
ENPHASE SOLAR ENERGY PRIVATE LIMITED,7389.0,IN0017580157,Services
ENTIGRITY PRIVATE LIMITED,7389.0,IN0017624429,Services
ENVISION SCIENTIFIC PRIVATE LIMITED,2834.0,IN0008720066,Manufacturing
EPAM SYSTEMS INDIA PRIVATE LIMITED,8742.0,IN0000755108,Services
EPHICACY LIFESCIENCE ANALYTICS PRIVATE LIMITED,8731.0,IN0007760235,Services
EPI SOURCE INDIA PRIVATE LIMITED,7375.0,IN0007760012,Services
EQ TECHNOLOGIC (INDIA) PRIVATE LIMITED,7375.0,IN0002583494,Services
EQUIFAX CREDIT INFORMATION SERVICES PRIVATE LIMITED,7374.0,IN0002582748,Services
ESKAG SANJEEVANI PRIVATE LIMITED,8011.0,IN0002607445,Services
ETERNAL SUNSHINE PRODUCTIONS PRIVATE LIMITED,7389.0,IN0015134299,Services
EURO PANEL PRODUCTS LIMITED,3365.0,IN932757FI,Manufacturing
EUTHORIA DEVELOPERS PRIVATE LIMITED,6531.0,IN0002666665,"Finance, Insurance, and Real Estate"
EVOLENT HEALTH INTERNATIONAL PRIVATE LIMITED,7375.0,IN0015686156,Services
EXCEL METAL ENGINEERING PRIVATE LIMITED,3341.0,IN0002694654,Manufacturing
EXPERIAN CREDIT INFORMATION COMPANY OF INDIA PRIVATE LIMITED,6019.0,IN0004736144,"Finance, Insurance, and Real Estate"
EXTENTIA INFORMATION TECHNOLOGY PRIVATE LIMITED,7371.0,IN0002723933,Services
FALCON AUTOTECH PRIVATE LIMITED,3549.0,IN0002742786,Manufacturing
FEDBANK FINANCIAL SERVICES LIMITED,6141.0,IN0000279918,"Finance, Insurance, and Real Estate"
FINOVA CAPITAL PRIVATE LIMITED,6159.0,IN0015230122,"Finance, Insurance, and Real Estate"
FIRSTRAND SERVICES PRIVATE LIMITED,7371.0,IN0014544156,Services
FISERV INDIA PRIVATE LIMITED,7375.0,IN0002871543,Services
FIVE-STAR BUSINESS FINANCE LIMITED,6159.0,IN0002874645,"Finance, Insurance, and Real Estate"
FIXDERMA INDIA PRIVATE LIMITED,2834.0,IN0002876403,Manufacturing
FORAY SOFTWARE PRIVATE LIMITED,7371.0,IN0002908627,Services
FORECH INDIA PRIVATE LIMITED,5199.0,IN0002910955,Wholesale Trade
FOSROC CHEMICALS (INDIA) PRIVATE LIMITED,2819.0,IN0002929409,Manufacturing
FRIMLINE PRIVATE LIMITED,2099.0,IN0015899414,Manufacturing
FRONTIER RAAS PRIVATE LIMITED,5131.0,IN0002959631,Wholesale Trade
FUSO GLASS INDIA PRIVATE LIMITED,3211.0,IN0002974622,Manufacturing
G.H. AGENCIES PRIVATE LIMITED,5085.0,IN0013771834,Wholesale Trade
GAINSIGHT SOFTWARE PRIVATE LIMITED,7374.0,IN0007998968,Services
GALLOPS MOTORS PRIVATE LIMITED,5012.0,IN0003015531,Wholesale Trade
GD RESEARCH CENTER PRIVATE LIMITED,8743.0,IN0007864639,Services
GEBBS HEALTHCARE SOLUTIONS PRIVATE LIMITED,7375.0,IN0003092274,Services
GENESIS LA MODE PRIVATE LIMITED,5199.0,IN0003117973,Wholesale Trade
GK RICKSHAW LIMITED,3694.0,IN0016251812,Manufacturing
GLF LIFESTYLE BRANDS PRIVATE LIMITED,5085.0,IN0003181842,Wholesale Trade
GLOBANT INDIA PRIVATE LIMITED,7375.0,IN0002095855,Services
GML INDIA FASHION PRIVATE LIMITED,5131.0,IN0013012997,Wholesale Trade
GOODRICH CARBOHYDRATES LIMITED,2091.0,IN0003285759,Manufacturing
GRANT THORNTON ADVISORY PRIVATE LIMITED,8111.0,IN0003331761,Services
GREAT WEST GLOBAL BUSINESS SERVICES INDIA PRIVATE LIMITED,7389.0,IN0013869053,Services
GREEN GAS LIMITED,2999.0,IN0003353519,Manufacturing
GRUNDFOS PUMPS INDIA PRIVATE LIMITED,3631.0,IN0003404898,Manufacturing
GUDI EXPORTS PRIVATE LIMITED,2326.0,IN0003409991,Manufacturing
GUIDEHOUSE INDIA PRIVATE LIMITED,7389.0,IN0006614909,Services
GUNINA COMMERCIALS PRIVATE LIMITED,7389.0,IN0003427754,Services
HALMA INDIA PRIVATE LIMITED,7375.0,IN0003473062,Services
HAPPIEST MINDS TECHNOLOGIES LIMITED,7379.0,IN110654FI,Services
HARMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,3571.0,IN0000024678,Manufacturing
HDFC CAPITAL ADVISORS LIMITED,7389.0,IN0014436737,Services
HEERU CORROSION PROTECTION SERVICES INDIA PRIVATE LIMITED,3999.0,IN0007964882,Manufacturing
HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,5085.0,IN0007984873,Wholesale Trade
HIGHRADIUS TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0003577015,Services
HIGHWAY ON WHEELS TRANSPORT PRIVATE LIMITED,5199.0,IN0014671397,Wholesale Trade
HINDUJA HOUSING FINANCE LIMITED,6141.0,IN0014357927,"Finance, Insurance, and Real Estate"
HINDUSTAN EQUIPMENTS PRIVATE LIMITED,134.0,IN0003606899,Mining
HL KLEMOVE INDIA PRIVATE LIMITED,3799.0,IN0015644141,Manufacturing
HLE GLASCOAT LIMITED,2899.0,IN32914FI,Manufacturing
HOOGHLY MOTORS PRIVATE LIMITED,3711.0,IN0012347709,Manufacturing
HRS PROCESS SYSTEMS LIMITED,3412.0,IN0003627406,Manufacturing
HTC GLOBAL SERVICES (INDIA) PRIVATE LIMITED,7375.0,IN0003633197,Services
IAN MACLEOD DISTILLERS INDIA PRIVATE LIMITED,2033.0,IN0003648309,Manufacturing
ICE MT INDIA PRIVATE LIMITED,7375.0,IN0005444635,Services
IIFL SAMASTA FINANCE LIMITED,6021.0,IN0013312213,"Finance, Insurance, and Real Estate"
INDEED INDIA OPERATIONS PRIVATE LIMITED,7375.0,IN0012372527,Services
INDFRAG BIO SCIENCES PRIVATE LIMITED,711.0,IN0015504125,Services
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,7011.0,IN001577106IND,Services
INDRAPRASTHA GAS LIMITED,4932.0,IN30831FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
INDUSTRIAL ASSET TRANSACTION SERVICES PRIVATE LIMITED,6531.0,IN0014309933,"Finance, Insurance, and Real Estate"
INFO EDGE (INDIA) LTD,4899.0,IN33138FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
INFOBEANS TECHNOLOGIES LIMITED,7372.0,IN114054FI,Services
INFOCEPTS TECHNOLOGIES PRIVATE LIMITED,7375.0,IN0003821217,Services
INFORMATICA BUSINESS SOLUTIONS PRIVATE LIMITED,7371.0,IN0000211273,Services
INFOSTRETCH CORPORATION (INDIA) PRIVATE LIMITED,7371.0,IN0011813299,Services
INNOVACCER ANALYTICS PRIVATE LIMITED,8742.0,IN0012057665,Services
IOPEX TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0008051403,Services
IQVIA ANALYTICS SERVICES PRIVATE LIMITED,8742.0,IN0007204402,Services
ITALICA GRANITO PRIVATE LIMITED,3299.0,IN0016154942,Manufacturing
ITOCHU INDIA PRIVATE LIMITED,5085.0,IN0003941192,Wholesale Trade
J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,7375.0,IN0009708394,Services
JAIN VINIMAY PRIVATE LIMITED,5051.0,IN0003982929,Wholesale Trade
JAYPEE CAPITAL SERVICES LIMITED,7389.0,IN0004097453,Services
JCB POWER PRODUCTS INDIA PRIVATE LIMITED,3612.0,IN0013518888,Manufacturing
JFROG INDIA PRIVATE LIMITED,7375.0,IN0016839133,Services
JINKUSHAL INDUSTRIES PRIVATE LIMITED,5199.0,IN0004140756,Wholesale Trade
JITF INFRALOGISTICS LIMITED,4789.0,IN102025FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
JITF URBAN INFRASTRUCTURE SERVICES LIMITED,4939.0,IN0004143602,"Transportation, Communications, Electric, Gas, and Sanitary Services"
JOHARI DIGITAL HEALTHCARE LIMITED,1629.0,IN0004179486,Construction
JOHNSON CONTROLS (INDIA) PRIVATE LIMITED,3812.0,IN0004178282,Manufacturing
JSW SEVERFIELD STRUCTURES LIMITED,3441.0,IN0007788917,Manufacturing
K.P.I. GLOBAL INFRASTRUCTURE LIMITED,4911.0,IN001576262IND,"Transportation, Communications, Electric, Gas, and Sanitary Services"
K.P.MANISH GLOBAL INGREDIENTS PRIVATE LIMITED,5021.0,IN0010913843,Wholesale Trade
KALINGA COMMERCIAL CORPORATION LIMITED,1629.0,IN0004256569,Construction
KANDHARI BEVERAGES PRIVATE LIMITED,2084.0,IN0004312303,Manufacturing
KANOHAR ELECTRICALS LIMITED,3694.0,IN33996FI,Manufacturing
KARZA TECHNOLOGIES PRIVATE LIMITED,8721.0,IN0015135539,Services
KASTURI FOUNDRY PRIVATE LIMITED,3321.0,IN0004496904,Manufacturing
KAVURI HILLS DEVELOPERS PRIVATE LIMITED,1629.0,IN0004534853,Construction
KHEMKA REFRACTORIES PRIVATE LIMITED,3241.0,IN0004598655,Manufacturing
KINAXIS INDIA PRIVATE LIMITED,7375.0,IN0007343688,Services
KJ ISPAT LIMITED,3312.0,IN0004633844,Manufacturing
KLA-TENCOR SOFTWARE INDIA PRIVATE LIMITED,7371.0,IN0004648108,Services
KLM LABORATORIES PRIVATE LIMITED,2834.0,IN0004637566,Manufacturing
KOKUYO RIDDHI PAPER PRODUCTS PRIVATE LIMITED,2655.0,IN0014771628,Manufacturing
KOMAL WORLDWIDE PRIVATE LIMITED,2299.0,IN0016453378,Manufacturing
KPMG GLOBAL SERVICES PRIVATE LIMITED,8742.0,IN0004698558,Services
KPMG RESOURCE CENTRE PRIVATE LIMITED,8742.0,IN0004698613,Services
KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED,8099.0,IN001758270IND,Services
KRONOS SOLUTIONS INDIA PRIVATE LIMITED,3571.0,IN0004753014,Manufacturing
KSOLARE ENERGY PRIVATE LIMITED,4911.0,IN0007652835,"Transportation, Communications, Electric, Gas, and Sanitary Services"
KUNDAN CRAFT PRIVATE LIMITED,5085.0,IN0007716794,Wholesale Trade
KUNDUR CONSTRUCTIONS PRIVATE LIMITED,8711.0,IN0007718951,Services
L&E INDIA PRIVATE LIMITED,3711.0,IN0009498174,Manufacturing
L.S. POWER CONTROL PRIVATE LIMITED,3691.0,IN0012318345,Manufacturing
LIEBHERR INDIA PRIVATE LIMITED,5085.0,IN0000021904,Wholesale Trade
LIKHITHA INFRASTRUCTURE LIMITED,1623.0,IN138597FI,Construction
LOUIS VUITTON INDIA RETAIL PRIVATE LIMITED,5085.0,IN0012611012,Wholesale Trade
LUMINAZ SAFETY GLASS PRIVATE LIMITED,3711.0,IN0012401932,Manufacturing
M PALLONJI SHIPPING PVT LTD,4499.0,IN0009145651,"Transportation, Communications, Electric, Gas, and Sanitary Services"
MADHAV UDYOG PRIVATE LIMITED,3312.0,IN0010796896,Manufacturing
MADHUR IRON & STEEL (INDIA) PRIVATE LIMITED,3441.0,IN0012724155,Manufacturing
MADHYA BHARAT AGRO PRODUCTS LIMITED,1475.0,IN117174FI,Mining
MAGIC SOFTWARE PRIVATE LIMITED,7389.0,IN0010881495,Services
MAHALAXMI METALLOYS (INDIA) PRIVATE LIMITED,3321.0,IN0012767574,Manufacturing
MAHARASHTRA NATURAL GAS LIMITED,1311.0,IN0000281434,Mining
MAHASAI ALUMINIUM PROFILES PRIVATE LIMITED,1041.0,IN0013638229,Mining
MAHASHIAN DI HATTI PRIVATE LIMITED,2099.0,IN0010895802,Manufacturing
MALABAR ROYAL DESIGNS (HYDERABAD) PRIVATE LIMITED,5999.0,IN0010668237,Retail Trade
MANAPPURAM HOME FINANCE LIMITED,6019.0,IN0011396757,"Finance, Insurance, and Real Estate"
MANPRO EQUIPMENTS PRIVATE LIMITED,3569.0,IN0013121485,Manufacturing
MBMG DIAMONDS PRIVATE LIMITED,3911.0,IN0007589054,Manufacturing
MEKONG SILK MILLS PRIVATE LIMITED,2281.0,IN0015979383,Manufacturing
MEL TRAINING & ASSESSMENTS LIMITED,7389.0,IN0001276648,Services
MERIL HEALTHCARE PRIVATE LIMITED,8099.0,IN0008314831,Services
MERIL LIFE SCIENCES INDIA PRIVATE LIMITED,3841.0,IN0008314999,Manufacturing
MERIL LIFE SCIENCES PRIVATE LIMITED,2834.0,IN0008315009,Manufacturing
MERITUS INTELYTICS PRIVATE LIMITED,8299.0,IN0008317261,Services
METHODS (INDIA) PRIVATE LIMITED,3559.0,IN0008333701,Manufacturing
MI INDUSTRIES (INDIA) PRIVATE LIMITED,2399.0,IN0007604214,Manufacturing
MINDA SILCA ENGINEERING PRIVATE LIMITED,3694.0,IN0000022037,Manufacturing
MINDSPRINT DIGITAL (INDIA) PRIVATE LIMITED,7371.0,IN0006874292,Services
MINDTICKLE INTERACTIVE MEDIA PRIVATE LIMITED,7375.0,IN0014676359,Services
MOLKEM CHEMICALS PRIVATE LIMITED,5085.0,IN0012383373,Wholesale Trade
MONGODB SOFTWARE INDIA PRIVATE LIMITED,7374.0,IN0012061765,Services
MORNINGSTAR INDIA PRIVATE LIMITED,7374.0,IN0011746231,Services
MOTUL INDIA PRIVATE LIMITED,2999.0,IN0001233355,Manufacturing
MOUNTAIN VALLEY SPRINGS INDIA PRIVATE LIMITED,2841.0,IN0008461728,Manufacturing
MOUSER ELECTRONICS (INDIA) PRIVATE LIMITED,3559.0,IN0013552096,Manufacturing
MSC TECHNOLOGY (INDIA) PRIVATE LIMITED,7375.0,IN0003650136,Services
MSP RETAIL PRIVATE LIMITED,5962.0,IN0007647393,Retail Trade
MTAR TECHNOLOGIES LIMITED,3559.0,IN37278FI,Manufacturing
MY HOME INFRASTRUCTURES PRIVATE LIMITED,1629.0,IN0007688579,Construction
NAMDEV FINVEST PRIVATE LIMITED,6141.0,IN0008781721,"Finance, Insurance, and Real Estate"
